Market Price Type,Center,Variety Name,Grade,Unit,Max Price,Average Price,Min Price
Wholesale Price,JOHOR BAHRU,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,JOHOR BAHRU,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,JOHOR BAHRU,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,JOHOR BAHRU,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,4.50,4.25,4.00
Wholesale Price,JOHOR BAHRU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,10.00,9.50,9.00
Wholesale Price,JOHOR BAHRU,TIMUN HIJAU ,F.A.Q,KG,5.50,5.25,5.00
Wholesale Price,JOHOR BAHRU,TOMATO (TANAH TINGGI),F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,KOTA SETAR,UBI KENTANG HOLLAND,F.A.Q,KG,5.50,5.25,5.00
Wholesale Price,KOTA SETAR,AYAM PROSES STANDARD,F.A.Q,KG,8.90,8.90,8.90
Wholesale Price,KOTA SETAR,AYAM PROSES SUPER,F.A.Q,KG,9.80,9.80,9.80
Wholesale Price,KOTA SETAR,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.50,4.00,4.00
Wholesale Price,KOTA SETAR,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KOTA SETAR,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,KOTA SETAR,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,13.00,12.00,12.00
Wholesale Price,KOTA SETAR,BAWANG PUTIH (CHINA),F.A.Q,KG,8.50,8.50,8.50
Wholesale Price,KOTA SETAR,BAYAM ,F.A.Q,KG,6.00,5.50,5.50
Wholesale Price,KOTA SETAR,BELIMBING (B10),F.A.Q,KG,8.00,7.00,6.00
Wholesale Price,KOTA SETAR,BETIK SEKAKI,F.A.Q,KG,5.50,5.00,5.00
Wholesale Price,KOTA SETAR,BUNGA KANTAN,F.A.Q,TANGKAI,1.50,1.50,1.20
Wholesale Price,KOTA SETAR,CILI HIJAU (IMPORT),F.A.Q,KG,13.00,12.00,12.00
Wholesale Price,KOTA SETAR,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,18.00,17.00,17.00
Wholesale Price,KOTA SETAR,DAUN BAWANG,F.A.Q,KG,12.00,11.00,11.00
Wholesale Price,KOTA SETAR,DAUN SUP (TANAH TINGGI),F.A.Q,KG,15.00,14.50,14.50
Wholesale Price,KOTA SETAR,KACANG BENDI,F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KOTA SETAR,KACANG BUNCIS,F.A.Q,KG,14.00,13.00,13.00
Wholesale Price,KOTA SETAR,KACANG PANJANG HIJAU,F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KOTA SETAR,KANGKUNG,F.A.Q,KG,5.50,5.00,5.00
Wholesale Price,KOTA SETAR,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.50,2.40
Wholesale Price,KOTA SETAR,KELAPA PARUT,F.A.Q,KG,7.20,7.20,7.00
Wholesale Price,KOTA SETAR,KETOLA / PETOLA SEGI,F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KOTA SETAR,KUBIS BULAT (CHINA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KOTA SETAR,KUBIS BULAT (INDONESIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KOTA SETAR,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KOTA SETAR,PISANG BERANGAN,F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,KOTA SETAR,PISANG MAS,F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,KOTA SETAR,SANTAN PEKAT,F.A.Q,KG,12.00,11.00,11.00
Wholesale Price,KOTA SETAR,SAWI HIJAU,F.A.Q,KG,7.00,6.50,6.50
Wholesale Price,KOTA SETAR,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,KOTA SETAR,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,KOTA SETAR,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,KOTA SETAR,TEMBIKAI MERAH,F.A.Q,KG,3.50,3.00,3.00
Wholesale Price,KOTA SETAR,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,3.50,3.00,3.00
Wholesale Price,KOTA SETAR,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KOTA SETAR,TIMUN HIJAU ,F.A.Q,KG,5.50,5.00,5.00
Wholesale Price,KOTA SETAR,TOMATO (TANAH TINGGI),F.A.Q,KG,6.00,5.50,5.50
Wholesale Price,KOTA BHARU,UBI KENTANG HOLLAND,F.A.Q,KG,3.00,3.00,3.00
Wholesale Price,KOTA BHARU,AYAM PROSES STANDARD,F.A.Q,KG,12.00,11.50,11.50
Wholesale Price,KOTA BHARU,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KOTA BHARU,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KOTA BHARU,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,4.50,4.00,4.00
Wholesale Price,KOTA BHARU,BAWANG PUTIH (CHINA),F.A.Q,KG,6.00,5.50,5.50
Wholesale Price,KOTA BHARU,BAYAM ,F.A.Q,KG,5.50,5.00,5.00
Wholesale Price,KOTA BHARU,BETIK SEKAKI,F.A.Q,KG,3.50,3.00,3.00
Wholesale Price,KOTA BHARU,BUNGA KANTAN,F.A.Q,TANGKAI,3.00,3.00,3.00
Wholesale Price,KOTA BHARU,CILI MERAH (THAILAND),F.A.Q,KG,12.00,11.00,11.00
Wholesale Price,KOTA BHARU,CILI MERAH (VIETNAM),F.A.Q,KG,12.00,11.00,11.00
Wholesale Price,KOTA BHARU,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,14.00,13.00,13.00
Wholesale Price,KOTA BHARU,CILI MERAH MINYAK,F.A.Q,KG,12.50,12.00,12.00
Wholesale Price,KOTA BHARU,DAUN BAWANG,F.A.Q,KG,10.00,9.00,9.00
Wholesale Price,KOTA BHARU,DAUN SUP (TANAH TINGGI),F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KOTA BHARU,KACANG BENDI,F.A.Q,KG,4.00,3.50,3.50
Wholesale Price,KOTA BHARU,KACANG BUNCIS,F.A.Q,KG,15.00,14.00,14.00
Wholesale Price,KOTA BHARU,KACANG PANJANG HIJAU,F.A.Q,KG,6.50,6.00,6.00
Wholesale Price,KOTA BHARU,KANGKUNG,F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KOTA BHARU,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.00,2.00
Wholesale Price,KOTA BHARU,KELAPA PARUT,F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,KOTA BHARU,KETOLA / PETOLA SEGI,F.A.Q,KG,3.50,3.00,3.00
Wholesale Price,KOTA BHARU,KUBIS BULAT (CHINA),F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KOTA BHARU,KUBIS BULAT (INDONESIA),F.A.Q,KG,3.50,3.00,3.00
Wholesale Price,KOTA BHARU,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,5.50,5.00,5.00
Wholesale Price,KOTA BHARU,PISANG BERANGAN,F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KOTA BHARU,PISANG MAS,F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,KOTA BHARU,SANTAN BIASA,F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,KOTA BHARU,SANTAN PEKAT,F.A.Q,KG,12.00,10.00,10.00
Wholesale Price,KOTA BHARU,SAWI HIJAU,F.A.Q,KG,7.50,7.00,7.00
Wholesale Price,KOTA BHARU,TELUR AYAM,A,BIJI,.45,.45,.45
Wholesale Price,KOTA BHARU,TELUR AYAM,B,BIJI,.43,.43,.43
Wholesale Price,KOTA BHARU,TELUR AYAM,C,BIJI,.42,.42,.42
Wholesale Price,KOTA BHARU,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,2.80,2.50,2.50
Wholesale Price,KOTA BHARU,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,6.00,5.00,5.00
Wholesale Price,KOTA BHARU,TIMUN HIJAU ,F.A.Q,KG,4.50,4.00,4.00
Wholesale Price,KOTA BHARU,TOMATO (TANAH TINGGI),F.A.Q,KG,6.50,6.00,6.00
Wholesale Price,MELAKA TENGAH,UBI KENTANG HOLLAND,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,MELAKA TENGAH,AYAM PROSES STANDARD,F.A.Q,KG,8.90,8.90,8.90
Wholesale Price,MELAKA TENGAH,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,MELAKA TENGAH,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,MELAKA TENGAH,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,MELAKA TENGAH,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,MELAKA TENGAH,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,12.00,11.50,11.00
Wholesale Price,MELAKA TENGAH,BAWANG MERAH ROSE,F.A.Q,KG,10.00,9.00,8.00
Wholesale Price,MELAKA TENGAH,BAWANG PUTIH (CHINA),F.A.Q,KG,8.50,8.50,8.50
Wholesale Price,MELAKA TENGAH,BAYAM ,F.A.Q,KG,5.50,5.50,5.00
Wholesale Price,MELAKA TENGAH,BELIMBING (B10),F.A.Q,KG,8.00,8.00,6.00
Wholesale Price,MELAKA TENGAH,BETIK SEKAKI,F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,MELAKA TENGAH,BUNGA KANTAN,F.A.Q,TANGKAI,2.50,2.50,2.00
Wholesale Price,MELAKA TENGAH,CILI HIJAU,F.A.Q,KG,14.00,14.00,14.00
Wholesale Price,MELAKA TENGAH,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,15.00,15.00,13.00
Wholesale Price,MELAKA TENGAH,CILI MERAH MINYAK,F.A.Q,KG,15.00,15.00,13.00
Wholesale Price,MELAKA TENGAH,DAUN BAWANG,F.A.Q,KG,7.00,7.00,6.00
Wholesale Price,MELAKA TENGAH,DAUN SUP (TANAH TINGGI),F.A.Q,KG,12.00,12.00,12.00
Wholesale Price,MELAKA TENGAH,KACANG BENDI,F.A.Q,KG,7.50,7.00,7.00
Wholesale Price,MELAKA TENGAH,KACANG BUNCIS,F.A.Q,KG,14.00,14.00,13.00
Wholesale Price,MELAKA TENGAH,KACANG PANJANG HIJAU,F.A.Q,KG,8.00,8.00,7.00
Wholesale Price,MELAKA TENGAH,KANGKUNG,F.A.Q,KG,5.50,5.50,5.00
Wholesale Price,MELAKA TENGAH,KELAPA DIKUPAS,SEDANG,BIJI,2.00,2.00,2.00
Wholesale Price,MELAKA TENGAH,KELAPA PARUT,F.A.Q,KG,7.60,7.60,7.60
Wholesale Price,MELAKA TENGAH,KETOLA / PETOLA SEGI,F.A.Q,KG,6.00,6.00,5.00
Wholesale Price,MELAKA TENGAH,KUBIS BULAT (CHINA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,MELAKA TENGAH,KUBIS BULAT (INDONESIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,MELAKA TENGAH,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,MELAKA TENGAH,PISANG BERANGAN,F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,MELAKA TENGAH,PISANG MAS,F.A.Q,KG,5.00,4.75,4.50
Wholesale Price,MELAKA TENGAH,SANTAN PEKAT,F.A.Q,KG,12.00,12.00,12.00
Wholesale Price,MELAKA TENGAH,SAWI HIJAU,F.A.Q,KG,6.00,6.00,5.50
Wholesale Price,MELAKA TENGAH,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,MELAKA TENGAH,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,MELAKA TENGAH,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,MELAKA TENGAH,TEMBIKAI MERAH,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,MELAKA TENGAH,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,MELAKA TENGAH,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,8.00,7.00,7.00
Wholesale Price,MELAKA TENGAH,TIMUN HIJAU ,F.A.Q,KG,5.50,5.50,5.00
Wholesale Price,MELAKA TENGAH,TOMATO (TANAH TINGGI),F.A.Q,KG,5.00,4.50,4.50
Wholesale Price,SEREMBAN,UBI KENTANG HOLLAND,F.A.Q,KG,3.00,3.00,3.00
Wholesale Price,SEREMBAN,AYAM PROSES STANDARD,F.A.Q,KG,8.90,8.90,8.90
Wholesale Price,SEREMBAN,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.50,4.25,4.00
Wholesale Price,SEREMBAN,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,SEREMBAN,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,7.00,6.50,6.00
Wholesale Price,SEREMBAN,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,13.00,12.50,12.00
Wholesale Price,SEREMBAN,BAWANG MERAH ROSE,F.A.Q,KG,8.00,7.50,7.00
Wholesale Price,SEREMBAN,BAWANG PUTIH (CHINA),F.A.Q,KG,9.00,8.75,8.50
Wholesale Price,SEREMBAN,BAYAM ,F.A.Q,KG,4.50,4.25,4.00
Wholesale Price,SEREMBAN,BELIMBING (B10),F.A.Q,KG,7.00,6.50,6.00
Wholesale Price,SEREMBAN,BETIK SEKAKI,F.A.Q,KG,5.00,4.75,4.50
Wholesale Price,SEREMBAN,BUNGA KANTAN,F.A.Q,TANGKAI,2.00,1.75,1.50
Wholesale Price,SEREMBAN,CILI HIJAU,F.A.Q,KG,13.00,12.50,12.00
Wholesale Price,SEREMBAN,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,20.00,19.50,19.00
Wholesale Price,SEREMBAN,CILI MERAH MINYAK,F.A.Q,KG,13.00,12.50,12.00
Wholesale Price,SEREMBAN,DAUN BAWANG,F.A.Q,KG,8.00,7.50,7.00
Wholesale Price,SEREMBAN,DAUN SUP (TANAH TINGGI),F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,SEREMBAN,KACANG BENDI,F.A.Q,KG,10.00,9.50,9.00
Wholesale Price,SEREMBAN,KACANG BUNCIS,F.A.Q,KG,15.00,14.50,14.00
Wholesale Price,SEREMBAN,KACANG PANJANG HIJAU,F.A.Q,KG,11.00,10.50,10.00
Wholesale Price,SEREMBAN,KANGKUNG,F.A.Q,KG,4.50,4.25,4.00
Wholesale Price,SEREMBAN,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.40,2.30
Wholesale Price,SEREMBAN,KELAPA PARUT,F.A.Q,KG,7.60,7.60,7.60
Wholesale Price,SEREMBAN,KETOLA / PETOLA SEGI,F.A.Q,KG,7.00,6.50,6.00
Wholesale Price,SEREMBAN,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,6.50,6.25,6.00
Wholesale Price,SEREMBAN,PISANG BERANGAN,F.A.Q,KG,5.00,4.75,4.50
Wholesale Price,SEREMBAN,PISANG MAS,F.A.Q,KG,5.00,4.75,4.50
Wholesale Price,SEREMBAN,SANTAN BIASA,F.A.Q,KG,9.00,8.75,8.50
Wholesale Price,SEREMBAN,SAWI HIJAU,F.A.Q,KG,7.00,6.75,6.50
Wholesale Price,SEREMBAN,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,SEREMBAN,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,SEREMBAN,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,SEREMBAN,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,SEREMBAN,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,SEREMBAN,TIMUN HIJAU ,F.A.Q,KG,6.00,5.75,5.50
Wholesale Price,SEREMBAN,TOMATO (TANAH TINGGI),F.A.Q,KG,5.50,5.25,5.00
Wholesale Price,KUANTAN,UBI KENTANG HOLLAND,F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,KUANTAN,AYAM PROSES STANDARD,F.A.Q,KG,8.90,8.90,8.90
Wholesale Price,KUANTAN,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,KUANTAN,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,KUANTAN,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KUANTAN,BAWANG PUTIH (CHINA),F.A.Q,KG,8.50,8.50,8.50
Wholesale Price,KUANTAN,BAYAM ,F.A.Q,KG,4.50,4.00,4.00
Wholesale Price,KUANTAN,BELIMBING (B10),F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,KUANTAN,BETIK SEKAKI,F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,KUANTAN,BUNGA KANTAN,F.A.Q,TANGKAI,2.00,2.00,2.00
Wholesale Price,KUANTAN,CILI HIJAU,F.A.Q,KG,11.00,11.00,10.00
Wholesale Price,KUANTAN,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,16.00,15.50,15.00
Wholesale Price,KUANTAN,CILI MERAH MINYAK,F.A.Q,KG,13.00,12.00,12.00
Wholesale Price,KUANTAN,DAUN BAWANG,F.A.Q,KG,12.00,11.00,10.00
Wholesale Price,KUANTAN,DAUN SUP (TANAH TINGGI),F.A.Q,KG,13.00,12.00,11.00
Wholesale Price,KUANTAN,KACANG BENDI,F.A.Q,KG,10.00,10.00,9.00
Wholesale Price,KUANTAN,KACANG BUNCIS,F.A.Q,KG,15.00,14.00,14.00
Wholesale Price,KUANTAN,KACANG PANJANG HIJAU,F.A.Q,KG,9.00,8.00,8.00
Wholesale Price,KUANTAN,KANGKUNG,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KUANTAN,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.50,2.50
Wholesale Price,KUANTAN,KELAPA PARUT,F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,KUANTAN,KETOLA / PETOLA SEGI,F.A.Q,KG,7.50,7.00,6.50
Wholesale Price,KUANTAN,KUBIS BULAT (CHINA),F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,KUANTAN,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,4.50,4.50,4.50
Wholesale Price,KUANTAN,PISANG BERANGAN,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KUANTAN,PISANG MAS,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KUANTAN,SANTAN BIASA,F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,KUANTAN,SANTAN PEKAT,F.A.Q,KG,15.00,15.00,15.00
Wholesale Price,KUANTAN,SAWI HIJAU,F.A.Q,KG,7.00,6.50,6.00
Wholesale Price,KUANTAN,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,KUANTAN,TELUR AYAM,B,BIJI,.41,.41,.41
Wholesale Price,KUANTAN,TELUR AYAM,C,BIJI,.39,.39,.39
Wholesale Price,KUANTAN,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,3.00,3.00,3.00
Wholesale Price,KUANTAN,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,10.00,10.00,10.00
Wholesale Price,KUANTAN,TIMUN HIJAU ,F.A.Q,KG,5.50,5.00,4.50
Wholesale Price,KUANTAN,TOMATO (TANAH TINGGI),F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,SEBERANG PERAI TENGAH,UBI KENTANG HOLLAND,F.A.Q,KG,3.00,3.00,3.00
Wholesale Price,SEBERANG PERAI TENGAH,AYAM PROSES STANDARD,F.A.Q,KG,11.00,10.80,10.50
Wholesale Price,SEBERANG PERAI TENGAH,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,5.00,4.50,4.00
Wholesale Price,SEBERANG PERAI TENGAH,BAWANG BESAR MERAH (IMPORT),F.A.Q,KG,3.50,3.25,3.00
Wholesale Price,SEBERANG PERAI TENGAH,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,SEBERANG PERAI TENGAH,BAWANG MERAH / KECIL (IMPORT),F.A.Q,KG,6.00,5.50,5.00
Wholesale Price,SEBERANG PERAI TENGAH,BAWANG MERAH / KECIL (INDIA),F.A.Q,KG,6.00,6.00,6.00
Wholesale Price,SEBERANG PERAI TENGAH,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,10.00,10.00,10.00
Wholesale Price,SEBERANG PERAI TENGAH,BAWANG MERAH ROSE,F.A.Q,KG,10.00,9.00,8.00
Wholesale Price,SEBERANG PERAI TENGAH,BAWANG PUTIH (CHINA),F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,SEBERANG PERAI TENGAH,BAYAM ,F.A.Q,KG,5.00,4.50,4.00
Wholesale Price,SEBERANG PERAI TENGAH,BETIK SEKAKI,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,SEBERANG PERAI TENGAH,BUNGA KANTAN,F.A.Q,TANGKAI,2.00,1.80,1.50
Wholesale Price,SEBERANG PERAI TENGAH,CILI HIJAU,F.A.Q,KG,15.00,14.00,12.00
Wholesale Price,SEBERANG PERAI TENGAH,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,20.00,18.00,17.00
Wholesale Price,SEBERANG PERAI TENGAH,CILI MERAH MINYAK,F.A.Q,KG,16.00,15.00,14.00
Wholesale Price,SEBERANG PERAI TENGAH,DAUN BAWANG,F.A.Q,KG,12.00,10.00,8.00
Wholesale Price,SEBERANG PERAI TENGAH,DAUN SUP (TANAH TINGGI),F.A.Q,KG,14.00,13.00,12.00
Wholesale Price,SEBERANG PERAI TENGAH,KACANG BENDI,F.A.Q,KG,12.00,10.00,9.00
Wholesale Price,SEBERANG PERAI TENGAH,KACANG BUNCIS,F.A.Q,KG,16.00,15.00,14.00
Wholesale Price,SEBERANG PERAI TENGAH,KACANG PANJANG HIJAU,F.A.Q,KG,12.00,11.00,10.00
Wholesale Price,SEBERANG PERAI TENGAH,KANGKUNG,F.A.Q,KG,4.50,4.25,4.00
Wholesale Price,SEBERANG PERAI TENGAH,KELAPA DIKUPAS,SEDANG,BIJI,3.00,2.75,2.50
Wholesale Price,SEBERANG PERAI TENGAH,KELAPA PARUT,F.A.Q,KG,9.00,8.50,8.00
Wholesale Price,SEBERANG PERAI TENGAH,KETOLA / PETOLA SEGI,F.A.Q,KG,7.00,6.00,5.00
Wholesale Price,SEBERANG PERAI TENGAH,KUBIS BULAT (CHINA),F.A.Q,KG,5.00,4.75,4.50
Wholesale Price,SEBERANG PERAI TENGAH,KUBIS BULAT (INDONESIA),F.A.Q,KG,5.00,4.75,4.50
Wholesale Price,SEBERANG PERAI TENGAH,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,7.00,6.50,6.00
Wholesale Price,SEBERANG PERAI TENGAH,PISANG BERANGAN,F.A.Q,KG,6.50,6.25,6.00
Wholesale Price,SEBERANG PERAI TENGAH,PISANG MAS,F.A.Q,KG,6.50,6.25,6.00
Wholesale Price,SEBERANG PERAI TENGAH,SANTAN PEKAT,F.A.Q,KG,12.00,12.00,12.00
Wholesale Price,SEBERANG PERAI TENGAH,SAWI HIJAU,F.A.Q,KG,10.00,9.50,9.00
Wholesale Price,SEBERANG PERAI TENGAH,TELUR AYAM,A,BIJI,.46,.45,.43
Wholesale Price,SEBERANG PERAI TENGAH,TELUR AYAM,B,BIJI,.44,.43,.41
Wholesale Price,SEBERANG PERAI TENGAH,TELUR AYAM,C,BIJI,.42,.41,.39
Wholesale Price,SEBERANG PERAI TENGAH,TEMBIKAI MERAH TANPA BIJI,F.A.Q,KG,4.00,3.75,3.50
Wholesale Price,SEBERANG PERAI TENGAH,TERUNG PANJANG / PEPARU (TANAH RENDAH),F.A.Q,KG,12.00,10.00,9.00
Wholesale Price,SEBERANG PERAI TENGAH,TIMUN HIJAU ,F.A.Q,KG,7.00,6.50,6.00
Wholesale Price,SEBERANG PERAI TENGAH,TOMATO (TANAH TINGGI),F.A.Q,KG,8.00,7.00,6.00
Wholesale Price,KINTA,UBI KENTANG HOLLAND,F.A.Q,KG,3.50,3.25,3.00
Wholesale Price,KINTA,AYAM PROSES STANDARD,F.A.Q,KG,9.80,9.80,9.80
Wholesale Price,KINTA,BAWANG BESAR KUNING / HOLLAND,F.A.Q,KG,4.00,4.00,4.00
Wholesale Price,KINTA,BAWANG BESAR MERAH (INDIA),F.A.Q,KG,3.00,3.00,3.00
Wholesale Price,KINTA,BAWANG MERAH / KECIL (THAI),F.A.Q,KG,9.00,9.00,9.00
Wholesale Price,KINTA,BAWANG PUTIH (CHINA),F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,KINTA,BAYAM ,F.A.Q,KG,3.50,3.50,3.00
Wholesale Price,KINTA,BELIMBING (B10),F.A.Q,KG,5.00,5.00,4.50
Wholesale Price,KINTA,BETIK SEKAKI,F.A.Q,KG,4.50,4.00,3.50
Wholesale Price,KINTA,BUNGA KANTAN,F.A.Q,TANGKAI,1.50,1.40,1.20
Wholesale Price,KINTA,CILI HIJAU,F.A.Q,KG,10.00,9.00,9.00
Wholesale Price,KINTA,CILI MERAH KULAI / KULAI HIBRID,F.A.Q,KG,17.00,16.00,15.00
Wholesale Price,KINTA,CILI MERAH MINYAK,F.A.Q,KG,14.00,14.00,13.00
Wholesale Price,KINTA,DAUN BAWANG,F.A.Q,KG,8.00,7.00,7.00
Wholesale Price,KINTA,DAUN SUP (TANAH TINGGI),F.A.Q,KG,10.00,9.00,9.00
Wholesale Price,KINTA,KACANG BENDI,F.A.Q,KG,10.00,10.00,9.00
Wholesale Price,KINTA,KACANG BUNCIS,F.A.Q,KG,15.00,14.00,13.00
Wholesale Price,KINTA,KACANG PANJANG HIJAU,F.A.Q,KG,10.00,10.00,9.00
Wholesale Price,KINTA,KANGKUNG,F.A.Q,KG,3.50,3.00,3.00
Wholesale Price,KINTA,KELAPA DIKUPAS,SEDANG,BIJI,2.50,2.50,2.50
Wholesale Price,KINTA,KELAPA PARUT,F.A.Q,KG,7.50,7.50,7.50
Wholesale Price,KINTA,KETOLA / PETOLA SEGI,F.A.Q,KG,7.00,6.00,6.00
Wholesale Price,KINTA,KUBIS BULAT (CHINA),F.A.Q,KG,3.50,3.50,3.50
Wholesale Price,KINTA,KUBIS BULAT (TANAH TINGGI),F.A.Q,KG,5.00,4.50,4.00
Wholesale Price,KINTA,PISANG BERANGAN,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KINTA,PISANG MAS,F.A.Q,KG,5.00,5.00,5.00
Wholesale Price,KINTA,SANTAN BIASA,F.A.Q,KG,8.00,8.00,8.00
Wholesale Price,KINTA,SAWI HIJAU,F.A.Q,KG,7.00,7.00,7.00
Wholesale Price,KINTA,TELUR AYAM,A,BIJI,.43,.43,.43
Wholesale Price,KINTA,TELUR AYAM,B,BIJI,.41,.41,.41
